epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1768.65,1.34202,1.32761,1.432,0.47548,0.60803,0.55311,0.32291,1.49761,1.54571,1.42161,0.0090991,0.0090991,0.0090991
93,1788,1.32335,1.3121,1.4287,0.58424,0.61627,0.59825,0.3336,1.44272,1.51072,1.40414,0.0090892,0.0090892,0.0090892
94,1807.54,1.32159,1.32756,1.42775,0.59369,0.59132,0.62033,0.36299,1.44075,1.46203,1.36313,0.0090793,0.0090793,0.0090793
95,1827.01,1.32967,1.34596,1.43559,0.62483,0.57208,0.57855,0.34421,1.48005,1.45329,1.39722,0.0090694,0.0090694,0.0090694
96,1846.21,1.32206,1.29145,1.41155,0.60924,0.5657,0.57054,0.33092,1.47291,1.45604,1.38486,0.0090595,0.0090595,0.0090595
97,1865.73,1.34623,1.28427,1.43737,0.60052,0.59336,0.56726,0.33581,1.45208,1.46337,1.39965,0.0090496,0.0090496,0.0090496
98,1885.06,1.32438,1.28983,1.40363,0.64231,0.56126,0.58605,0.34407,1.46681,1.45398,1.37546,0.0090397,0.0090397,0.0090397
99,1904.77,1.33219,1.29,1.43953,0.70304,0.53958,0.58887,0.33978,1.44458,1.51692,1.37157,0.0090298,0.0090298,0.0090298
100,1924.51,1.32364,1.29415,1.41632,0.63395,0.59422,0.59857,0.36109,1.41238,1.4606,1.35645,0.0090199,0.0090199,0.0090199
101,1944.7,1.31145,1.29831,1.40885,0.62671,0.57732,0.59191,0.33323,1.42663,1.42871,1.34559,0.00901,0.00901,0.00901
102,1963.79,1.32537,1.31628,1.42446,0.61306,0.62077,0.61611,0.35819,1.43753,1.36085,1.34313,0.0090001,0.0090001,0.0090001
103,1983.36,1.30053,1.23962,1.4085,0.58821,0.59443,0.58654,0.34117,1.45003,1.41614,1.38548,0.0089902,0.0089902,0.0089902
104,2003.26,1.31512,1.25667,1.41747,0.58667,0.5853,0.5764,0.35093,1.41418,1.43721,1.37474,0.0089803,0.0089803,0.0089803
105,2023.18,1.28681,1.22264,1.39481,0.55499,0.62395,0.589,0.34588,1.42758,1.47991,1.36322,0.0089704,0.0089704,0.0089704
106,2043.04,1.30119,1.28251,1.40317,0.55088,0.6242,0.59327,0.35377,1.44692,1.4135,1.37122,0.0089605,0.0089605,0.0089605
107,2062.58,1.31787,1.25397,1.40566,0.57493,0.56931,0.58041,0.35289,1.46249,1.49542,1.34232,0.0089506,0.0089506,0.0089506
108,2082.43,1.31163,1.28475,1.41797,0.55439,0.58308,0.58385,0.34954,1.49352,1.4768,1.36576,0.0089407,0.0089407,0.0089407
109,2102.15,1.28673,1.25802,1.39369,0.65934,0.53779,0.58964,0.358,1.39574,1.41145,1.34793,0.0089308,0.0089308,0.0089308
110,2122.25,1.27529,1.26676,1.38557,0.6344,0.55086,0.56642,0.3487,1.3974,1.48483,1.33742,0.0089209,0.0089209,0.0089209
111,2141.83,1.29483,1.24167,1.41008,0.61406,0.5806,0.59226,0.36603,1.42954,1.42671,1.37116,0.008911,0.008911,0.008911
112,2162.07,1.28363,1.20056,1.38931,0.6172,0.60553,0.6092,0.35968,1.44501,1.43222,1.35343,0.0089011,0.0089011,0.0089011
113,2181.91,1.29807,1.2262,1.39449,0.61558,0.57691,0.58998,0.34919,1.4266,1.39484,1.34816,0.0088912,0.0088912,0.0088912
114,2201.61,1.27881,1.23697,1.40455,0.68468,0.55415,0.59059,0.35006,1.41415,1.45928,1.36817,0.0088813,0.0088813,0.0088813
115,2221.44,1.29644,1.22094,1.39824,0.6019,0.61669,0.59366,0.35419,1.4198,1.41976,1.33919,0.0088714,0.0088714,0.0088714
116,2241.47,1.26835,1.21539,1.37329,0.58651,0.57332,0.58339,0.35123,1.45738,1.45358,1.37257,0.0088615,0.0088615,0.0088615
117,2261.35,1.26802,1.23878,1.38147,0.66497,0.55599,0.58219,0.3476,1.40887,1.35862,1.33831,0.0088516,0.0088516,0.0088516
118,2281.32,1.26757,1.21486,1.39224,0.57354,0.61546,0.59611,0.35169,1.44665,1.41937,1.39862,0.0088417,0.0088417,0.0088417
119,2301.21,1.27662,1.2183,1.37416,0.62965,0.57952,0.61275,0.36165,1.37509,1.34674,1.35898,0.0088318,0.0088318,0.0088318
120,2321.09,1.25529,1.21682,1.37292,0.65589,0.60739,0.62367,0.36702,1.41549,1.45755,1.37062,0.0088219,0.0088219,0.0088219
121,2340.75,1.25734,1.21527,1.37133,0.61922,0.63273,0.62387,0.36995,1.40513,1.41784,1.37057,0.008812,0.008812,0.008812
122,2360.59,1.27036,1.19528,1.37605,0.57765,0.58655,0.59419,0.36839,1.44286,1.38288,1.36014,0.0088021,0.0088021,0.0088021
123,2380.2,1.28006,1.19107,1.37887,0.58512,0.60993,0.61525,0.39024,1.38766,1.35982,1.34834,0.0087922,0.0087922,0.0087922
124,2399.89,1.26223,1.21052,1.37793,0.58946,0.64948,0.62174,0.38064,1.42299,1.3503,1.38921,0.0087823,0.0087823,0.0087823
125,2419.51,1.23992,1.17058,1.35855,0.61109,0.65002,0.63199,0.38102,1.39445,1.31028,1.35862,0.0087724,0.0087724,0.0087724
126,2439.01,1.2658,1.18532,1.3754,0.70245,0.61742,0.64416,0.39384,1.41429,1.337,1.36128,0.0087625,0.0087625,0.0087625
127,2459.13,1.23102,1.16775,1.35048,0.674,0.64203,0.65358,0.40259,1.42865,1.33473,1.36254,0.0087526,0.0087526,0.0087526
128,2478.58,1.23642,1.16055,1.35783,0.6255,0.59167,0.59837,0.37819,1.39148,1.37493,1.33396,0.0087427,0.0087427,0.0087427
129,2498.1,1.25432,1.20106,1.37807,0.66853,0.55978,0.60185,0.37916,1.39031,1.40433,1.32841,0.0087328,0.0087328,0.0087328
130,2517.42,1.25653,1.17255,1.3613,0.66974,0.55045,0.62397,0.38205,1.42452,1.41018,1.35458,0.0087229,0.0087229,0.0087229
131,2537.01,1.24526,1.15435,1.3616,0.71106,0.56695,0.63773,0.37583,1.44925,1.35502,1.33969,0.008713,0.008713,0.008713
